BAPIAAHDR									
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME				
1000	1	20220503	20220328	ปป. DL 28.03.2565	174004				
									
BAPIAAITM									
CO_AREA	DOC_NO	ITEMNO_ACC	SEND_CCTR	ACTTYPE	ACTVTY_QTY	REC_WBS_EL	REC_ORDER	PERSON_NO	SEG_TEXT
1000	1	45	C462600	DL02	6.5	I/64.09.04.001.64.12.204		2129209	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	46	C462600	DL03	6.5	I/63.10.02.017.63.02.204		2132916	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	47	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2136314	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	48	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2136314	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	49	C462600	DL02	13	I/63.10.02.017.63.02.204		2329224	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	50	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2332021	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	51	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2332021	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	52	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		2332312	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	53	C462600	DL03	6.5	I/64.09.04.001.64.10.204		2332312	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	54	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2334436	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	55	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2334436	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	56	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		2334533	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	57	C462600	DL03	6.5	I/64.09.04.001.64.12.204		2334533	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	58	C462600	DL03	13	I/63.10.02.017.63.02.204		2343300	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	59	C462600	DL02	6.5	I/64.09.04.001.64.24.302		2377624	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	60	C462600	DL03	13	I/63.10.02.017.63.02.204		2390511	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	61	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		2398933	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	62	C462600	DL03	6.5	I/64.09.04.001.64.12.204		2398933	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	63	C462600	DL03	6.5	I/63.10.03.001.63.KI.302		2400526	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	64	C462600	DL03	6.5	I/64.09.04.001.64.12.204		2400526	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	65	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		2402613	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	66	C462600	DL03	6.5	I/64.09.04.001.64.10.204		2402613	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	67	C462600	DL03	6.5	I/64.09.04.001.64.24.302		2402807	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	68	C462600	DL03	6.5	I/64.10.03.001.64.44.301		2402807	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	69	C462600	DL03	6.5	I/62.10.03.001.62.DR.302		2403220	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	70	C462600	DL03	6.5	I/64.09.04.001.64.10.204		2403220	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
